"komentar","label"
"polisi harus tindak tegas oknum ormas","positif"
"polisi kalau tidak pakai sogokan makan dari mana?!","negatif"
"adi polisi kok jadi pelaku pemerasan juga!","negatif"
"brengsek! ini polisi kenapa lama sekali gerak","negatif"
"pecat saja! banyak orang baik yang mau jadi polisi tapi gagal","negatif"
"polisi sebenarnya fungsinya apa?!","netral"
"kami harap pak polisi segera menangkap pemilik akun ini","positif"
"saya kesal sekali sama polisi kalau tidak ada uang kasus tidak akan di urus","negatif"
"kasihan polisi yang bener-bener baik dan jujur","positif"
"sumpah ya polisi kenapa sih?!","netral"
"polisi tolol banget","negatif"
"yang benar saja pak polisi jangan sampai kepanjangan dari polisi menjadi perkumpulan orang licik seluruh indonesia","negatif"
"senangnya anak yatim kota kediri diajak polisi belanja baju lebaran di mall","negatif"
"aparat polisi bangsat!","negatif"
"kami bangga melihat polisi punya simpati pada begitu banyak orang","positif"
"polisi isinya oknum semua!","negatif"
"polisi harus tangkap dan tindak tegas pelaku penganiaya anak kecil","positif"
"polisi goblok!","negatif"
"sudah bukan rahasia umum lagi hilang motor lapor polisi pasti hilang mobil, biadab","negatif"
"polisi cepatlah bertindak masa harus viral dulu","negatif"
"lembaga negara yang paling tidak bisa di percaya adalah polisi","negatif"
"memang keren Polisi Indonesia","positif"
"hebat polisi bisa berpikir cepat","positif"
"cara polisi cari pelaku keren banget","positif"
"jaya terus polisi indonesia","positif"
"polisi pasti bisa menertibkan mobil para pengacau jalanan","positif"
"terima kasih banyak bapak polisi sudah melaksanakan pengamanan","positif"
"pecat saja oknum polisi begitu","negatif"
"kita terus berharap ada anggota polisi memiliki hati nurani","positif"
"gue sedih banget kinerja kepolisian","negatif"
"mantap pak polisi","positif"
"polisi bisa mengayomi dan membuat aman","positif"
"polisi memang ramah langsung minta maaf karena tidak bisa membantu","positif"
"antara marah kecewa tidak percaya semua jadi satu","negatif"
"benar-benar kecewa sama polisi","negatif"
"saya kecewa hari ini kepada polisi","negatif"
"saya sebagai rakyat kecewa dengan kinerja polisi","negatif"
"kecewa kinerja polisi lambat mengembangkan kasus","negatif"
"kami sebagai masyarakat kecewa sama kepolisian","negatif"
"terus terang kami kecewa terhadap polisi","negatif"
"saya sedih marah dan kecewa kepada siapa lagi rakyat mengadu pak","negatif"
"tolong dong pak dibuktikan kalau hoax dengan bukti-bukti yang valid biar rakyat bisa percaya","negatif"
"polisi membatalkan konser untuk ahmad dhani membuat ribuan peserta kecewa","negatif"
"semoga citra kalian semakin buruk!","negatif"
"kecewa saya sama penguasa dan polisi","negatif"
"saya berharap lebih di kasus ini jadi kecewa sama polisi","negatif"
"demi Allah saya sedih kecewa dan marah pada polisi","negatif"
"jangan buat kami kecewa dan sakit hati pada kamu pak polisi","negatif"
"aku kecewa banget sikap polisi","negatif"
"kecewa dengan polisi karena intel cuma datang bilang sabar","negatif"
"siti rusmini kecewa karena laporan kekerasan dalam rumah tangga mengendap di kantor polisi","negatif"
"segel mobil box pengiriman surat suara rusak bawaslu kecewa polisi tidak mengkawal pengiriman suaranya","negatif"
"pengalaman baru lagi mengurus tilang sejauh ini masih sangat kecewa dengan polisi","negatif"
"Kenapa polisi selalu membuat rakyat kecewa","negatif"
"ibu korban kecewa polisi hentikan kasus dugaan pencabulan anak","negatif"
"kecewa dengan penanganan polisi yang dinilai merugikan","negatif"
"kecewa polisi hentikan kasus kepala sekolah cabul","negatif"
"panitia kecewa karena polisi menghadang peserta luar kota yang akan bergabung","negatif"
"saya kecewa sekali kost saya kemalingan lapor ke kantor polisi tapi tidak ada yang mengangkat","negatif"
"penampilannya dihentikan polisi sheila on 7 kecewa terhadap toleransi aparat","negatif"
"kecewa aja liat polisi tidak ada tegasnya","negatif"
"sebenarnya cukup kecewa dengan keadaan jalan karena tidak ada polisi","negatif"
"kecewa dengan kinerja polisi","negatif"
"kecewa polisi malas mengungkap kejahatan","negatif"
"sedih polisi tangguhkan pelaku pengeroyokan tempat hiburan malam","negatif"
"masyarakat kecewa dengan polisi","negatif"
"orator aksi kecewa dihalau polisi","negatif"
"jangan terlalu berharap banyak dari polisi ujungnya kecewa","negatif"
"tak berharap banyak dari polisi nanti kecewa","negatif"
"keluarga tabrak lari kecewa laporan ke polisi tidak direspon","negatif"
"kecewa banget sama polisi","negatif"
"saya kecewa polisi menetapkan tersangka yang salah","negatif"
"saya termasuk orang yang kecewa dengan polisi","negatif"
"melihat sikap polisi beberapa waktu ini jadi kecewa","negatif"
"saya kecewa dan marah karena Polisi tidak melanjutkan kasus tersebut","negatif"
"pasti pak polisi bisa membantu bapak","positif"
"yang lebih buat saya kecewa adalah tindakan polisi","negatif"
"kecewa dengan pihak polisi kenapa jadi serumit ini","negatif"
"kecewa polisi belum tangkap pelaku","negatif"
"Pelaku Penyerangan Tak Kunjung Ditangkap rakyat Kecewa sama Polisi","negatif"
"Ketiga korban persekusi mengaku kecewa dengan Kepala Pos Polisi","negatif"
"polisi jujur adil dan tegas","positif"
"Ini sungguh tidak adil brengsek kalian polisi","negatif"
"Yang jujur dan adil ya pak Polisi semoga amanah dan sukses","positif"
"perlu aparat kepolisian demi menjaga keamanan kedamaian","positif"
"keren sekali pak polisi menjaga pemilu aman damai jujur dan adil","positif"
"Polisi harus segera usut dan proses dengan adil","positif"
"Polisi ini memang biang masalah","negatif"
"Jadilah polisi yang amanah jujur adil","positif"
"dari dulu polisi itu menakutkan","negatif"
"Jadi polisi harus jujur dan adil","positif"
"Polisi itu baik jujur dan adil","positif"
"Saya yakin Polisi sebagai pengayom masyarakat akan dapat benar-benar menjadi kebanggaan rakyat Indonesia","positif"
"Dan penegak hukum sangat adil polisi semua jujur","positif"
"Polisi kita jujur membela rakyat kecil","positif"
"saya yakin Polisi Kita bersih dari uang haram","positif"
"polisi kita bersih jujur dan adil","positif"
"Dimana adanya polisi yang jujur","negatif"
"tetap jadilah polisi yang jujur baik bijaksana dan adil dalam bertugas","positif"
"Ikut senang cuma karena melihat kejujuran masih ada nilainya ternyata","positif"
"Dan ternyata polisi jujur masih dan mau tulus minta maaf ada juga","positif"
"Polisi buktikan institusi polisi menegak kan adil jujur tanpa ada intimidasi dari pihak mana pun.","positif"
"masih ada polisi yang jujur adil dan tegas","positif"
"semakin tidak percaya dengan kinerja polisi sungguh tidak adil","negatif"
"Teruntuk polisi-polisi yang jujur adil dan bekerja semaksimal mungkin saya ucapkan banyak terimakasih","positif"
"Sungguh polri mengecewakan rakyat","negatif"
"Masih banyak polisi kita yang sangat jujur dan adil sopan ramah","positif"
"saya dan mungkin jutaan orang mulai percaya pada polisi","positif"
"Polisi memang semestinya berani baik jujur dan berlaku adil","positif"
"kita rakyat pasti mendukung polisi yang jujur adil dan berani demi kebenaran","positif"
"Hukum indonesia butuh polisi yang jujur dan adil","positif"
"Polisi harus jujur dan adil","positif"
"Saya dukung selama kerja polisi jujur dan adil serta manusiawi","positif"
"Terima kasih karena Polri telah menjadi lembaga yang menjaga dan mewujudkan pemilu yang jujur dan adil","positif"
"Polisi Indonesia itu tegas jujur dan adil","positif"
"Terima kasih pak polisi sudah selalu jujur dan adil","positif"
"Susah sekarang cari polisi yang jujur dan adil","positif"
"permasalahan bangsa ini adalah Penegak Hukum atau Polisi saat ini TIDAK DIPERCAYA oleh Rakyat","negatif"
"Prihatin polisi yang jujur dan adil sudah sangat minim sekarang","negatif"
"tambahkan kinerja polisi jadilah polisi yang jujur adil melindungi rakyat","positif"
"polisi harus bersikap adil dan benar dan yang penting jujur untuk kasus ini","positif"
"Polisi zaman sakarang sudah JUJUR dan ADIL","positif"
"Masyarakat Indonesia semua senang ada polisi yang jujur dan adil","positif"
"senang sekali Polri gelar Bakti sosial untuk ringankan beban masyarakat","positif"
"Sepertinya sekarang polisi sudah jadi alat kekuasaan bukan lagi sebagai penegak hukum yang amanah jujur dan adil buat semua","negatif"
"sebegitu saya mengagumi polisi tapi anda sebagai polisi tidak bekerja secara jujur dan adil tolong selesaikan sesuai hukum!","negatif"
"Polri Bertindaklah jujur dan adil jangan sampai hukum dijadikan alat kekuasaan dan menindas mereka yang lemah","positif"
"menjadi Polisi yg baik jujur serta bisa berlaku Adil","positif"
"polisi menjalin silaturahmi dengan masyarakat sekaligus mendengarkan keluh kesah dan aspirasi masyarakat","positif"
"bekerja sebagai polisi punya integritas dan kinerja yang sangat baik dan bisa diandalkan.","positif"
"sedih sekali polisi berulah menerima sogokan dari perusahaan","negatif"
"maka dari itu kinerja polisi sudah semakin baik","positif"
"Masyarakat Puas Atas Kinerja Polri Amankan Pemilu","positif"
"Masih percaya sama kinerja Polisi","positif"
"Berhenti berharap dengan kinerja polisi lebih baik masyarakat yang bergerak","negatif"
"saya benci kinerja polisi soal pencurian motor atau mobil","negatif"
"yang terpenting semakin meningkatkan kinerja polisi","positif"
"lihat pak kinerja polisi hancur","negatif"
"apresiasi yang mendalam terhadap dedikasi dan kinerja yang luar biasa dari Polisi","positif"
"saya selalu sakit hati kalo mengingat kinerja polisi di negara sendiri","negatif"
"Hebat kinerja polisi dalam menangkap pelaku kriminal","positif"
"sangat kecewa dengan kinerja polisi","negatif"
"senang sekali dengan kinerja polisi yang mampu menangkap pengedar","positif"
"salut dan bangga selalu dengan kinerja pak polisi Bersama Berantas Kriminalitas","positif"
"Patut diapresiasi atas kinerja polisi yang bergerak cepat menangkap pengedar narkoba","positif"
"salut sama kinerja bapak polisi yang selalu tanggap menyelesaikan berbagai masalah","positif"
"apresiasi untuk polisi yang sudah berjasa dengan membongkar kasus narkoba","positif"
"Ayo Pak Polisi berantas habis para pelaku narkoba","positif"
"Kami bangga sekali dengan kinerja polisi","positif"
"Saya semakin yakin kinerja polri akan lebih baik polisi","positif"
"kecewa kinerja polisi buruk","negatif"
"senang dengan kejujuran dan integritas yang kuat dalam tubuh Kepolisian.","positif"
"jadi merasa aman karena Polisi ada dalam menjaga Keamanan dan Kenyamanan masyarakat","positif"
"polisi Kinerja kayak tai","negatif"
"kinerja polisi di masa depan makin bagus","positif"
"senang rasanya polisi mendengarkan keluh kesah masyarakat dan mengayomi masyarakat","positif"
"mantul sekali kinerja polisi","positif"
"Publik Puas Atas Kinerja Polisi","positif"
"Terima kasih pak polisi","positif"
"Terima kasih Polisi yang baik","positif"
"Alhamdulillah terima kasih pak polisi","positif"
"pak polisi terima kasih","positif"
"Terima kasih pak kapolresta atas kepedulian terhadap Fasilitas Publik","positif"
"Polisi peduli kebersihan keindahan Kota Terima kasih Pak","positif"
"Terima kasih Polisi yang peduli kebersihan keindahan Kota","positif"
"terima kasih pak polisi udah bersiap siaga mengamankan arus mudik balik semoga diberikan kesehatan dan kelancaran dalam bertugas","positif"
"Mantep betul polisi mempersiapkan dengan matang untuk lebaran tahun","positif"
"Terima kasih pak Polisi saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya","positif"
"saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya terima kasih pak polisi","positif"
"alhamdulillah di mudik tahun sekarang sudah banyak kemajuan terima kasih pak polisi","positif"
"mantap deh pokoknya pak polisi","positif"
"Terima kasih pak polisi semoga anda selalu diberi kesehatan dan dilancarkan rejekinya","positif"
"Terima kasih pak Polisi mudik lancar dan aman tanpa macet seperti tahun sebelumnya ditangani dengan baik dan luar biasa","positif"
"Terima kasih Pak Polisi sudah memberikan pelayanan terbaik kepada masyarakat","positif"
"Memang mantap penanganan mudik dari polisi","positif"
"terima kasih pak polisi sehat selalu dalam melaksanakan tugasnya.","positif"
"terima kasih pak polisi atas kinerjanya","positif"
"kami masyarakat terima kasih atas pelayanannya pak polisi","positif"
"Terima kasih pak Polisi senang sekali mudik bisa lancar dan aman tanpa macet","positif"
"Alhamdulillah mudik dijaga pak polisi terima kasih pak atas dedikasinya","positif"
"Jangan Pernah Berhenti Berbuat Baik kepada Sesama Pak polisi","positif"
"kami mengucapkan terima kasih kepada seluruh jajaran Polri di seluruh Indonesia","positif"
"Terima kasih pak polisi telah memberikan rasa aman dan nyaman disetiap perjalanan kami.","positif"
"Terima kasih pak Polisi mudik tahun ini gak kena macet dan lacar banget pokoknya tetap semangat deh buat pak Polisi dalam bertugas.","positif"
"Mantap Mudik balik lebaran kami sekeluarga aman dan lancar","positif"
"terima kasih pak dan bu polisi yang bertugas","positif"
"hebat pak polisi Arus mudik balik lebaran aman dan nyaman Terima kasih polri","positif"
"Terima kasih pak polisi yang ngatur jalan","positif"
"Terima kasih sudah menjaga keamanan dan kenyamanan","positif"
"Terima kasih bapak polisi semua sehat terus pak","positif"
"terima kasih bapak polisi telah siap sedia selalu untuk mengamankan semuanya dengan baik","positif"
"Terima kasih pak polisi yang selalu memberikan pelayanan terbaik kepada kami","positif"
"Terima Kasih Pak Polisi mudik jadi tenang aman terkendali","positif"
"Terima kasih Pak polisi telah mengamankan Mudik kami","positif"
"terima kasih Polisi Indonesia dedikasimu melindungi masyarakat patut diacungi jempol","positif"
"Terima kasih polisi wanita","positif"
"Terima Kasih Untuk Dukungannya Pak Polisi","positif"
"Terima Kasih Bapak Polisi","positif"
"Terima Kasih Ibu Polisi","positif"
"Terima kasih bu polisi","positif"
"Terima kasih para polwan","positif"
"Terima kasih polwan","positif"
"Polisi begini cepat tanggap dan peka Terima kasih pak polisi kalian sudah bekerja keras","positif"
"Polisi begini nih cepat tanggap dan peka","positif"
"Terima kasih pak polisi kalian sudah bekerja keras","positif"
"Disaat kami terancam kalian ada untuk melindungi kita Terima kasih pak polisi dan pak TNI Semangat terus","positif"
"Terima kasih pak polisi sudah mewakili kami semua","positif"
"Terima Kasih pak polisi terbaik","positif"
"Semoga kepolisian makin profesional dalam tugasnya.","netral"
"Tugas polisi memang berat, semoga bisa lebih baik ke depannya.","netral"
"Keamanan itu penting, semoga polisi bisa tetap sigap!","netral"
"Polisi punya peran besar di masyarakat, semoga makin transparan!","netral"
"Setiap tugas pasti ada tantangannya, semoga polisi makin kompeten!","netral"
"Semoga semua laporan masyarakat ditindaklanjuti dengan cepat.","netral"
"Polisi harus bisa menjaga ketertiban dengan adil.","netral"
"Setiap kasus pasti ada prosesnya, semoga ditangani dengan baik.","netral"
"Kinerja kepolisian perlu dievaluasi secara berkala biar makin optimal!","netral"
"Gimana pun juga, keamanan masyarakat ada di tangan polisi.","netral"
"Semoga makin banyak polisi yang benar-benar menjalankan tugasnya dengan baik!","netral"
"Masyarakat butuh kepolisian yang responsif dan tegas.","netral"
"Polisi perlu beradaptasi dengan perkembangan zaman biar makin efektif.","netral"
"Menjaga keamanan bukan hal mudah, semangat buat kepolisian!","netral"
"Pelayanan kepolisian harus lebih cepat dan transparan!","netral"
"Keamanan yang baik butuh kerja sama polisi dan masyarakat.","netral"
"Polisi harus jadi contoh dalam menaati hukum.","netral"
"Setiap kasus yang ditangani polisi harus jelas dan transparan.","netral"
"Semoga polisi bisa makin dekat dengan masyarakat!","netral"
"Profesionalitas dalam bertugas adalah kunci kepercayaan publik.","netral"
"Makin tegas, makin transparan, makin dipercaya!","netral"
"Tugas polisi berat, tapi tetap harus akuntabel!","netral"
"Polisi juga manusia, tapi tetap harus menjalankan tugas dengan benar.","netral"
"Semoga makin banyak polisi yang jujur dan berintegritas!","netral"
"Ketegasan polisi harus selalu seimbang dengan keadilan.","netral"
"Penegakan hukum itu penting, semoga polisi bisa lebih baik lagi!","netral"
"Harus ada perbaikan terus-menerus dalam sistem kepolisian.","netral"
"Jangan lupa, polisi juga pelindung rakyat!","netral"
"Pelayanan publik yang baik akan meningkatkan kepercayaan masyarakat.","netral"
"Polisi yang baik pasti dicintai rakyat!","netral"
"Semoga reformasi kepolisian terus berjalan ke arah yang lebih baik!","netral"
"Tugas berat polisi harus diimbangi dengan tanggung jawab yang besar.","netral"
"Hukum harus ditegakkan tanpa pandang bulu, polisi punya peran besar!","netral"
"Polisi juga manusia, tapi tetap harus profesional dalam bekerja.","netral"
"Semakin cepat respons kepolisian, semakin baik untuk masyarakat.","netral"
"Kepolisian perlu lebih transparan dalam menangani kasus!","netral"
"Penegakan hukum harus terus ditingkatkan demi keamanan bersama.","netral"
"Kepolisian yang baik harus bisa melayani masyarakat dengan sepenuh hati.","netral"
"Setiap laporan harus ditindaklanjuti biar masyarakat merasa aman!","netral"
"Kinerja polisi harus terus dievaluasi biar lebih efektif!","netral"
"Ketegasan polisi penting, tapi jangan sampai merugikan masyarakat.","netral"
"Terima Kasih buat polisi yang membantu mengamankan","positif"
"terima kasih atas kinerjanya bapak polisi","positif"
"Terima kasih pak Polisi karena sudah menyelamatkan para korban","positif"
"Terima kasih Polres Serang sudah menjaga kondusifitas kotanya.","positif"
"Keren terima kasih bapak polisi","positif"
"Good job Pak Polisi terima kasih sudah mengevakuasi pelaku","positif"
"Terima kasih pak polisi semoga cepat diusut tuntas.","positif"
"Terima kasih bapak polisi yang rela membantu warga","positif"
"Sekali lagi terima kasih pak Polisi sudah menginspirasi kita semua","positif"
"terima kasih Bapak polisi yang sudah membantu","positif"
"salut banget sama pak polisi terima kasih pak","positif"
"Terima kasih pak polisi yang menjaga terus tanpa lelah","positif"
"Terima kasih polisi baik","positif"
"Terima kasih pak Polisi untuk kronologinya","positif"
"Terima kasih Polri atas upaya yang dilakukan untuk menghormati jasa-jasa pahlawan kita","positif"
"Terima kasih pak Polisi yang sudah menjalankan tugasnya mengawal","positif"
"keren nih programnya terima kasih pak polisi terus Berkarya Berinovasi Mengayomi","positif"
"Teruslah Berkarya Berinovasi Mengayomi terima kasih pak polisi sehat selalu","positif"
"Terima kasih banyak buat Pak Polisi yang hari ini telah membantu saya","positif"
"terima kasih bapak kapolri atas komitmennya Polisi Jaga Persatuan dan kesatuan bangsa","positif"
"bangga pak polisi melayani dengan hati melakukan tugas penuh amanah","positif"
"Luar biasa cepat tanggap bapak polisi","positif"
"Terima kasih pak polisi yang bergerak dengan cepat","positif"
"Dukungan Ini Merupakan Wujud Terima Kasih Sebab Kebaikan Polisi","positif"
"Terima kasih sarannya pak polisi","positif"
"Wah terima kasih pak polisi saya jadi terharu","positif"
"Mantap Terima kasih pak polisi sudah menangkap Pelaku","positif"
"Hadir disaat dibutuhkan terima kasih ibu Polwan","positif"
"Hadir ditengah masyarakat terima kasih Polri","positif"
"Memanusiakan manusia terima kasih Polri","positif"
"Jiwa raga untuk kemanusiaan terima kasih Polri telah peduli","positif"
"Terima kasih Polri telah berbagi buku sekaligus ilmu","positif"
"Terima kasih telah hadir ditengah masyarakat","positif"
"Berbagi buku sekaligus ilmu terima kasih Polri","positif"
"Terima kasih Polisi yang selalu hadir ditengah masyarakat","positif"
"jarang terlihat dilayar kaca tapi nyata dilapangan Terima kasih Polisi Baik","positif"
"terima kasih pak kapolres kami masyarakat banyak-banyak terima kasih atas bantunnya","positif"
"Terima kasih bapak polisi sudah mewakili kami","positif"
"Mantap langsung ketahuan Terima kasih polisi","positif"
"Ini Polisinya wajib dikasih penghargaan karena hal hal begini saja menjadi perhatiannya","positif"
"jarang jarang Pak Polisi seperti ini Terima kasih Polri semoga semakin sejahtera","positif"
"Terima kasih pak polisi Sudah membantu Mengamankan","positif"
"TERIMA kasih polisi baik Salut","positif"
"Alhamdulillah terima kasih pak Polisi hukum seberat beratmya mahluk kayak dia","negatif"
"sekali lagi polisi goblok terima kasih.","positif"
"Terima kasih pak polisi hadapi dengan senyuman setiap melaksanakan tugas","positif"
"Terima kasih pak polisi sudah mengungkap kebenaran","positif"
"Terima kasih polisi dan Relawan telah bekerja semaksimal mungkin","positif"
"TERIMA KASIH BAPAK POLISI SUDAH MENEGAKKAN KEADILAN","positif"
"Terima kasih atas bantuannya Pak polisi","positif"
"Terima kasih Pak Polisi dan Bu Polisi yang standby setiap malam","positif"
"terima kasih pak polisi sudah turut membantu evakuasi","positif"
"Terima kasih atas dedikasi dan kontribusimu pak polisi","positif"
"terima kasih pak polisi yang selalu Siaga membantu masyarakat mari kita Bersama Saling Waspada","positif"
"Terima kasih kepada para polisi yang sudah membantu warga","positif"
"Terima kasih kepada polisi yang selalu berjuang untuk menjaga keamanan kita semua","positif"
"Terima kasih kepada polisi yang bekerja keras dalam menjaga perbatasan laut kita","positif"
"Terima kasih Bapak polisi atas himbauan yang sangat bagus ini.","positif"
"Terima kasih kepada polisi yang telah bekerja keras untuk menyelesaikan kasus ini","positif"
"Terima kasih Bapak polisi sudah bertindak tegas","positif"
"Semakin profesional, semakin dihormati!","netral"
"Jangan hanya penindakan, polisi juga harus mendidik masyarakat!","netral"
"Makin baik pelayanan, makin tinggi kepercayaan masyarakat.","netral"
"Penting buat polisi untuk menjaga netralitas dalam bertugas!","netral"
"Penegakan hukum yang adil akan bikin masyarakat lebih percaya sama polisi.","netral"
"Semoga polisi selalu mengutamakan keadilan dalam setiap tindakan.","netral"
"Polisi adalah pelindung rakyat, bukan sebaliknya.","netral"
"Kinerja polisi menentukan rasa aman masyarakat.","netral"
"Polisi memiliki tugas utama menegakkan hukum dan menjaga ketertiban","netral"
"akhirnya motor saya balik terima kasih pak polisi","positif"
"Salut Polisi Tolong Sopir Truk Kontainer yang Pingsan","positif"
"akhirnya kena juga Terima Kasih Pak Polisi.","positif"
"Terima kasih pak polisi selalu hadir melayani","positif"
"terima kasih polisi yang Selalu Hadir Melayani dan dengan Pengabdian Sepenuh Hati","positif"
"Terima kasih kepada polisi yang bekerja keras untuk mengungkap kasus ini","positif"
"terima kasih polisi selalu Bersama Cegah Kejahatan semoga untuk kedepannya kejahatan yang lain bisa terungkap","positif"
"terima kasih polisi selalu Cegah Kejahatan","positif"
"Aku benar-benar kecewa dengan kinerja kepolisian","negatif"
"Kinerja kepolisian bikin aku sedih banget","negatif"
"Aku merasa sangat sedih melihat cara kerja kepolisian.","negatif"
"Kepolisian bekerja dengan cara yang bikin aku benar-benar sedih.","negatif"
"Aku nggak habis pikir dengan kinerja kepolisian, rasanya sedih banget.","negatif"
"Saya sangat kecewa dengan kinerja kepolisian dan berharap ada perbaikan.","negatif"
"Kinerja kepolisian saat ini kurang memuaskan dan perlu evaluasi.","negatif"
"Penegakan hukum seharusnya dilakukan dengan lebih adil dan transparan.","positif"
"Saya berharap kepolisian bisa lebih profesional dalam menjalankan tugasnya.","positif"
"Kepercayaan masyarakat pada kepolisian harus dijaga dengan tindakan nyata.","positif"
"Saya sangat geram dengan kinerja kepolisian yang semakin mengecewakan.","negatif"
"Bagaimana mungkin kepolisian terus bekerja dengan cara yang semrawut seperti ini","negatif"
"Kinerja kepolisian benar-benar membuat saya frustrasi! Seharusnya mereka lebih bertanggung jawab.","negatif"
"Saya muak melihat bagaimana kepolisian menegakkan hukum dengan standar ganda.","negatif"
"Sebagai aparat penegak hukum, kepolisian seharusnya malu dengan cara mereka bekerja saat ini.","negatif"
"Saya benar-benar kecewa dengan bagaimana kepolisian menangani masalah ini.","negatif"
"Keputusan yang diambil kepolisian sungguh mengecewakan dan tidak mencerminkan keadilan.","negatif"
"Sulit dipercaya bahwa kepolisian masih bekerja dengan cara yang begitu tidak profesional.","negatif"
