"komentar","label"
"Sebagai masyarakat, kami merasa dikhianati oleh kepolisian yang seharusnya melindungi, bukan merugikan.","negatif"
"Harus sampai kapan kepolisian terus mengabaikan keadilan dan kepentingan masyarakat","negatif"
"Saya sedih melihat kepolisian yang seharusnya melindungi rakyat, tapi malah mengecewakan.","negatif"
"Miris rasanya melihat hukum tidak ditegakkan dengan adil oleh kepolisian.","negatif"
"Seharusnya kepolisian menjadi pelindung, bukan sumber ketidakadilan.","negatif"
"Saya kehilangan harapan melihat banyak kasus yang tidak ditangani dengan serius.","negatif"
"Kepolisian yang seharusnya menjadi harapan rakyat kini justru sering mengecewakan.","negatif"
"Sungguh menyedihkan ketika rakyat takut melapor karena tidak percaya pada kepolisian.","negatif"
"Setiap kali ada kasus yang dibiarkan begitu saja, saya semakin kecewa.","negatif"
"Rasanya menyakitkan melihat oknum kepolisian yang menyalahgunakan wewenang.","negatif"
"Kenapa keadilan terasa begitu jauh ketika berurusan dengan kepolisian","negatif"
"Saya hanya bisa berharap suatu hari kepolisian benar-benar berpihak pada rakyat.","positif"
"Saya takut melapor ke polisi karena khawatir tidak mendapatkan keadilan.","negatif"
"Sering kali saya merasa lebih aman diam daripada berurusan dengan kepolisian.","negatif"
"Bagaimana bisa kita merasa terlindungi jika polisi sendiri menimbulkan ketakutan?","negatif"
"Saya khawatir jika berbicara terlalu keras, justru saya yang akan disalahkan.","negatif"
"Melihat kasus-kasus yang tidak ditangani dengan benar, saya jadi takut akan masa depan hukum di negara ini.","negatif"
"Kadang saya takut bahwa hukum hanya berpihak pada mereka yang punya kuasa.","negatif"
"Banyak yang takut melawan ketidakadilan karena polisi justru membela yang salah.","negatif"
"Rasanya menegangkan setiap kali melihat ada razia, meskipun tidak melakukan kesalahan.","negatif"
"Keamanan seharusnya datang dari kepolisian, bukan justru rasa cemas.","negatif"
"Saya takut jika suatu hari saya membutuhkan bantuan polisi, tapi mereka tidak peduli.","negatif"
"Saya masih percaya bahwa kepolisian bisa berubah menjadi lebih baik.","positif"
"Meskipun banyak kritik, saya yakin masih ada polisi yang benar-benar jujur.","positif"
"Kepercayaan masyarakat harus dijaga, dan saya berharap kepolisian terus berbenah.","positif"
"Saya percaya bahwa masih ada polisi yang bekerja dengan hati nurani.","positif"
"Banyak polisi baik di luar sana, mereka hanya perlu didukung dan diperlihatkan.","positif"
"Kejujuran dan integritas masih bisa ditegakkan jika ada niat dari dalam kepolisian sendiri.","positif"
"Saya yakin kepolisian bisa membuktikan bahwa mereka adalah penjaga keadilan.","positif"
"Sebagian polisi masih bekerja dengan baik, dan mereka yang jujur harus didukung.","positif"
"Saya percaya hukum bisa berjalan dengan adil jika kepolisian benar-benar berkomitmen.","positif"
"Selama masih ada polisi yang peduli dengan keadilan, masih ada harapan untuk negeri ini.","positif"
"saya semakin kecewa dengan kinerja kalian pak","negatif"
"Saya takut melapor ke polisi, takut malah dipersulit.","negatif"
"Berurusan dengan polisi sering kali bikin cemas.","negatif"
"Takut kalau keadilan hanya milik yang berkuasa.","negatif"
"Melapor ke polisi, tapi takut malah jadi tersangka.","negatif"
"Melihat razia polisi saja sudah bikin deg-degan.","negatif"
"Saya takut polisi lebih membela yang punya uang.","negatif"
"Kadang lebih aman diam daripada berurusan dengan polisi.","negatif"
"Saya takut hukum tidak akan melindungi rakyat kecil.","negatif"
"Sering kali rakyat takut bersuara karena polisi.","negatif"
"Saya takut polisi lebih berpihak pada kepentingan sendiri.","negatif"
"Takut kalau polisi tidak benar-benar menegakkan hukum.","negatif"
"Bagaimana bisa merasa aman kalau polisi pun tak bisa dipercaya?","negatif"
"Saya takut keadilan bisa dibeli dengan uang.","negatif"
"Polisi seharusnya melindungi, tapi kenapa malah bikin takut?","negatif"
"Takut kalau polisi justru menyalahgunakan kekuasaannya.","negatif"
"Berharap polisi adil, tapi takut itu hanya mimpi.","negatif"
"Saya takut suatu hari polisi benar-benar kehilangan kepercayaan rakyat.","negatif"
"Takut melapor karena tidak yakin akan ada tindakan yang adil.","negatif"
"Hukum terasa menakutkan ketika tidak ditegakkan dengan benar.","negatif"
"Kadang lebih takut sama polisi daripada sama penjahat.","negatif"
"Saya takut melapor ke polisi karena sering kali korban justru tidak mendapatkan perlindungan yang layak.","negatif"
"Setiap kali ada razia atau patroli, saya merasa cemas, meskipun saya tidak melakukan kesalahan.","negatif"
"Banyak orang ragu untuk meminta bantuan polisi karena takut dipersulit atau tidak dianggap serius.","negatif"
"Saya merasa takut jika suatu saat berhadapan dengan polisi yang tidak profesional dan menyalahgunakan wewenangnya.","negatif"
"Menegakkan keadilan seharusnya tidak membuat rakyat takut, tetapi sayangnya, banyak yang justru merasa sebaliknya.","negatif"
"Saya takut berbicara terlalu kritis tentang kepolisian, karena bisa saja saya yang malah mendapat masalah.","negatif"
"Bagaimana bisa kita merasa aman jika aparat yang seharusnya melindungi justru sering bertindak semena-mena?","negatif"
"Saya selalu khawatir jika harus berurusan dengan kepolisian, karena hasil akhirnya sering kali tidak bisa ditebak.","negatif"
"Takut rasanya melihat berita tentang orang-orang yang mencari keadilan, tetapi justru mendapat tekanan dari aparat.","negatif"
"Saya takut jika suatu hari menjadi korban ketidakadilan dan tidak ada polisi yang benar-benar peduli.","negatif"
"Kadang saya lebih memilih diam daripada melapor ke polisi, karena takut malah dipersulit atau dicurigai.","negatif"
"Sulit mempercayai kepolisian sepenuhnya ketika masih ada kasus di mana mereka tidak bertindak sesuai hukum.","negatif"
"Saya takut jika suatu saat saya mengalami masalah hukum, bukan karena saya salah, tetapi karena sistem yang tidak berpihak pada rakyat kecil.","negatif"
"Setiap kali ada demonstrasi atau protes, saya takut polisi akan bertindak berlebihan tanpa mempertimbangkan hak rakyat.","negatif"
"Melihat bagaimana beberapa kasus ditangani dengan tidak adil, saya jadi takut dengan masa depan hukum di negeri ini.","negatif"
"Saya merasa cemas melihat oknum kepolisian yang bertindak sewenang-wenang, tanpa ada sanksi yang benar-benar tegas.","negatif"
"Saya takut dengan kenyataan bahwa keadilan bisa saja dibeli, dan kepolisian tidak selalu berpihak pada yang benar.","negatif"
"Bagaimana bisa rakyat merasa aman jika yang seharusnya melindungi justru sering bertindak kasar?","negatif"
"Takut rasanya jika di masa depan polisi tidak lagi bisa dipercaya sebagai penjaga keadilan.","negatif"
"Saya khawatir suatu hari polisi justru lebih melindungi kepentingan mereka sendiri daripada masyarakat yang mereka layani.","negatif"
"Saya percaya masih ada polisi yang jujur.","positif"
"Kepercayaan rakyat harus dijaga oleh kepolisian.","positif"
"Polisi yang adil akan selalu didukung masyarakat.","positif"
"Saya yakin kepolisian bisa berbenah menjadi lebih baik.","positif"
"Keadilan bisa terwujud jika polisi bekerja dengan hati.","positif"
"Saya percaya polisi yang baik masih ada dan bekerja keras.","positif"
"Profesionalisme polisi adalah kunci kepercayaan rakyat.","netral"
"Saya yakin ada polisi yang benar-benar peduli pada rakyat.","positif"
"Kepolisian yang bersih akan selalu mendapat dukungan penuh.","positif"
"Saya percaya polisi bisa menegakkan hukum dengan adil.","positif"
"Integritas polisi menentukan masa depan hukum di negeri ini.","netral"
"Kejujuran polisi adalah harapan bagi masyarakat.","positif"
"Saya percaya hukum bisa ditegakkan jika polisi bekerja dengan tulus.","positif"
"Selama polisi menjunjung kebenaran, rakyat akan mendukungnya.","positif"
"Polisi yang bekerja dengan hati akan selalu dipercaya.","positif"
"Saya yakin masih ada polisi yang berjuang demi keadilan.","positif"
"Kepercayaan masyarakat adalah aset terbesar kepolisian.","netral"
"Saya percaya polisi bisa menjadi contoh dalam penegakan hukum.","positif"
"Polisi yang amanah akan selalu mendapat tempat di hati rakyat.","positif"
"Saya yakin perubahan positif di kepolisian bisa terjadi.","positif"
"Masih percaya ada polisi yang jujur, semangat buat kalian yang bener-bener kerja!","positif"
"Walaupun banyak kritik, gue yakin masih ada polisi yang tulus buat rakyat.","positif"
"Semoga polisi yang baik tetap kuat dan nggak kebawa arus negatif.","positif"
"Gue percaya kalau polisi kerja bener, pasti dihargai masyarakat.","positif"
"Nggak semua polisi buruk, masih ada kok yang beneran adil.","positif"
"Polisi yang jujur dan amanah itu keren banget, semoga makin banyak yang kayak gitu.","positif"
"Salut buat polisi yang bener-bener bekerja buat keadilan!","positif"
"Percaya deh, kalau polisi transparan, rakyat pasti lebih respek.","positif"
"Gue yakin ada polisi yang masih pegang integritas tinggi, semangat!","positif"
"Kalau polisi kerja dengan hati, pasti kepercayaan masyarakat balik lagi.","positif"
"Mau gimana pun, kita tetep butuh polisi yang jujur dan tegas.","positif"
"Hormat buat polisi yang kerja bener, bukan cuma gaya doang.","positif"
"Polisi yang profesional itu aset negara, semoga makin banyak yang kaya gini.","positif"
"Percaya sama polisi yang jujur, tapi kalau ada yang salah, tetep harus dikritik.","positif"
"Gue yakin masih ada polisi yang mau berjuang buat rakyat, bukan buat kepentingan sendiri.","positif"
"Kepolisian bekerja sesuai dengan prosedur dan peraturan yang berlaku.","netral"
"Setiap laporan masyarakat akan diproses sesuai dengan ketentuan hukum.","netral"
"Petugas kepolisian menjalankan tugasnya di berbagai bidang, termasuk lalu lintas dan kriminalitas.","netral"
"Kepolisian memiliki wewenang untuk melakukan penyelidikan terhadap suatu kasus.","netral"
"Setiap anggota kepolisian harus mengikuti pelatihan sebelum bertugas.","netral"
"Masyarakat dapat mengajukan pengaduan jika mengalami masalah terkait hukum.","netral"
"Kepolisian memiliki berbagai unit yang menangani kasus berbeda.","netral"
"Setiap tindakan kepolisian harus sesuai dengan undang-undang yang berlaku.","netral"
"Gue yakin masih ada polisi baik, tapi sayangnya mereka kalah suara.","positif"
"Polisi melakukan patroli rutin untuk menjaga keamanan di wilayah tertentu.","positif"
"Kalau semua polisi tegas dan jujur, rakyat nggak bakal ragu buat percaya.","positif"
"Gue masih percaya sama polisi, tapi buktiin dulu kalau emang serius jaga keadilan.","positif"
"Kepercayaan rakyat itu mahal, nggak bisa didapet kalau kerja masih setengah hati.","positif"
"Gue percaya sama polisi yang profesional, bukan yang kerja buat kepentingan pribadi.","positif"
"Jujur aja, polisi yang baik itu banyak, tapi yang buruk lebih sering disorot.","positif"
"Semangat buat polisi yang kerja dengan jujur, semoga makin banyak yang kayak gini!","positif"
"Polisi yang amanah dan adil pasti selalu dihormati rakyat.","positif"
"Gue percaya polisi bisa lebih baik kalau semua berani lawan korupsi di dalamnya.","positif"
"Nggak semua polisi buruk, yang bener-bener kerja buat rakyat harus diapresiasi.","positif"
"Semoga polisi terus berbenah biar makin dipercaya masyarakat.","positif"
"Salut buat polisi yang tetap jujur dan berani menegakkan hukum dengan adil!","positif"
"Kalau polisi transparan dan profesional, kepercayaan masyarakat pasti meningkat.","positif"
"Percaya sama polisi yang kerja dengan hati, semoga ke depan makin banyak yang seperti itu.","positif"
"Hukum bisa lebih baik kalau polisi benar-benar menjalankan tugasnya dengan integritas.","positif"
"Tetap percaya sama polisi yang jujur, semoga ke depan makin banyak perubahan positif.","positif"
"Rakyat butuh kepastian hukum, bukan cuma janji manis yang ujung-ujungnya zonk!","negatif"
"Gimana rakyat mau percaya kalau yang salah malah dilindungi, tapi yang benar ditekan?","negatif"
"Tugas utama polisi itu melindungi rakyat, bukan malah menindas dan mempersulit!","negatif"
"Setiap kasus yang dilaporkan akan diproses sesuai dengan prosedur yang ada.","netral"
"Kepolisian bekerja sama dengan lembaga lain dalam menegakkan hukum.","netral"
"Polisi bertugas mengatur lalu lintas demi kelancaran transportasi.","netral"
"Kepolisian memiliki sistem pelaporan online untuk memudahkan masyarakat.","netral"
"Setiap daerah memiliki kantor kepolisian yang berfungsi melayani masyarakat.","netral"
"Anggota kepolisian dapat dipindahtugaskan ke daerah lain sesuai kebijakan.","netral"
"Penyidikan suatu kasus memerlukan waktu sesuai dengan tingkat kompleksitasnya.","netral"
"Polisi memiliki kewenangan untuk menindak pelanggaran lalu lintas.","netral"
"Masyarakat dapat mengakses informasi tentang kinerja kepolisian melalui laporan tahunan.","netral"
"Kepolisian menggunakan teknologi untuk mendukung proses investigasi.","netral"
"Kinerja buruk tapi tiap tahun minta naik gaji, apa yang dinaikin kalau kerja aja nggak becus?","negatif"
"Giliran demo rakyat langsung ditindak, tapi koruptor malah dikawal dengan santai!","negatif"
"Katanya penegak hukum, tapi malah jadi bagian dari kejahatan! Gimana rakyat mau percaya?","negatif"
"Polisi tugasnya bukan cuma tilang di jalan, coba lihat kejahatan yang lebih besar di depan mata kalian!","negatif"
"Jangan cuma pamer prestasi di media, kalau di lapangan masih banyak kasus yang kalian abaikan!","negatif"
"Kalian dikasih wewenang untuk melindungi rakyat, bukan buat nyari keuntungan pribadi!","negatif"
"Susah banget cari polisi yang benar-benar kerja buat rakyat, yang ada malah sibuk cari aman sendiri!","negatif"
"Hukum cuma buat yang miskin! Yang kaya mah bebas seenaknya!","negatif"
"Polisi tugasnya bikin aman, bukan malah bikin rakyat takut!","negatif"
"Lama-lama semua disebut oknum, terus mana yang bener?","negatif"
"Kalau hukum bisa dibeli, rakyat kecil tinggal pasrah aja?!","negatif"
"Nggak usah sok berwibawa kalau masih pilih kasih dalam menindak!","negatif"
"Kasus viral baru gercep! Kalau nggak, pasti diabaikan!","negatif"
"Ngurus SIM aja ribet, isinya pungli semua!","negatif"
"Keamanan cuma buat yang bayar, rakyat biasa cuma dapat janji palsu!","negatif"
"Bukti udah di depan mata, tapi masih alasan 'proses penyelidikan'!","negatif"
"Jangan salahkan masyarakat nggak percaya, liat sendiri kinerja kalian!","negatif"
"Kalau rakyat protes dibilang nggak menghormati hukum, lah kalian gimana?","negatif"
"Pakai seragam doang, tapi kelakuan kaya preman jalanan!","negatif"
"Polisi kerja buat siapa sih? Kok yang jelas-jelas salah malah dilindungi?","negatif"
"Jangan cuma pencitraan, buktikan kalau bener-bener kerja!","negatif"
"Jangan cuma tegas di jalanan, tapi di ruang sidang malah melempem!","negatif"
"Dikit-dikit 'damai aja', hukum negara kok jadi kayak tawar-menawar?!","negatif"
"Lapor hilang motor malah ditanya 'udah ikhlasin aja'?! SERIUS?","negatif"
"Kalau nggak ada kamera dan sosial media, semua kasus pasti tenggelam!","negatif"
"Gaji dari pajak rakyat, tapi malah ngehancurin kepercayaan rakyat!","negatif"
"Kepolisian adalah lembaga yang bertugas menjaga ketertiban dan keamanan.","netral"
"Setiap laporan yang masuk akan diproses sesuai prosedur yang berlaku.","netral"
"Polisi memiliki berbagai unit dengan tugas yang berbeda-beda.","netral"
"Hukum ditegakkan berdasarkan peraturan yang telah ditetapkan.","netral"
"Polisi memiliki kewenangan untuk melakukan penyelidikan dan pemeriksaan.","netral"
"Kepolisian bekerja dalam koordinasi dengan berbagai instansi terkait.","netral"
"Pengawasan terhadap kinerja kepolisian dilakukan oleh lembaga yang berwenang.","netral"
"Setiap kasus yang ditangani akan melalui proses investigasi sesuai aturan.","netral"
"Kepolisian memiliki peran dalam pengamanan kegiatan masyarakat.","netral"
"Pelayanan kepolisian mencakup berbagai aspek, termasuk administrasi hukum.","netral"
"Petugas kepolisian diberikan pelatihan sebelum menjalankan tugasnya.","netral"
"Prosedur penanganan kasus mengacu pada hukum yang berlaku.","netral"
"Polisi berperan dalam mengatur lalu lintas untuk menjaga kelancaran jalan.","netral"
"Kepolisian memiliki mekanisme pengaduan bagi masyarakat yang membutuhkan.","netral"
"Dalam menjalankan tugasnya, polisi mengikuti standar operasional yang ditentukan.","netral"
"Setiap anggota kepolisian memiliki tanggung jawab dalam menjalankan tugasnya.","netral"
"Kepolisian bekerja di bawah regulasi yang ditetapkan pemerintah.","netral"
"Laporan masyarakat menjadi salah satu sumber informasi bagi kepolisian.","netral"
"Teknologi digunakan oleh kepolisian untuk membantu dalam penyelidikan kasus.","netral"
"Kepolisian memiliki tugas untuk menjaga keamanan dalam berbagai situasi.","netral"
"Kelakuan kayak preman, tapi minta dihormati! Gimana rakyat mau respek?!","negatif"
"Polisi harusnya melindungi rakyat, bukan malah bikin susah!","negatif"
"Percuma ada hukum kalau polisi masih tebang pilih!","negatif"
"Keadilan cuma buat yang punya uang, rakyat kecil nggak dianggap!","negatif"
"Bosen liat berita polisi korup, kapan benernya?!","negatif"
"Polisi kerja buat siapa sih? Kok yang salah malah dilindungi?","negatif"
"Susah banget cari polisi jujur sekarang! Kecewa banget!","negatif"
"Kalau polisi nggak becus kerja, jangan harap rakyat percaya lagi!","negatif"
"Rakyat butuh keadilan, bukan janji kosong dari polisi!","negatif"
"Ngurus laporan aja ribet, polisi kerja atau enggak sih?","negatif"
"Kenapa kalau kasus kecil polisi sigap, tapi kalau kasus besar malah lama?!","negatif"
"Gaji dari pajak rakyat, tapi kerja seenaknya!","negatif"
"Harus berapa banyak korban dulu sampai polisi bener-bener bertindak?!","negatif"
"Jangan cuma garang sama rakyat kecil, yang gede juga ditindak dong!","negatif"
"Banyak oknum, tapi yang bener malah diam! Kecewa berat!","negatif"
"Kalau nggak bisa jujur, jangan jadi polisi!","negatif"
"Keamanan buat siapa sih? Kok yang salah malah makin berkuasa?","negatif"
"Udah capek berharap, percuma kalau polisi masih gini-gini aja!","negatif"
"Dikit-dikit damai, hukum di mana?!","negatif"
"Kinerja buruk tapi bangga seolah nggak ada masalah, parah sih!","negatif"
"Rakyat nggak butuh polisi pencitraan, butuh yang beneran kerja!","negatif"
"kenapa polisi memang harus menakutkan sih?","negatif"
"di mata masyarakat sebenarnya polisi itu menakutkan bukan mengayomi","negatif"
"saya lebih takut polisi karena polisi seperti momok yg menakutkan bagi kami para pemotor","negatif"
"Ngeri banget Polisi jaman sekarang kok menakutkan","negatif"
"Jujur aja, sekarang kalau ketemu polisi di jalan malah deg-degan.","negatif"
"Bukan rasa aman yang didapat, malah takut kalau ada razia.","negatif"
"Bahkan kalau nggak salah apa-apa pun, tetap takut kalau harus berurusan sama polisi.","negatif"
"Gimana nggak takut, kasus bisa tiba-tiba diputarbalikkan?","negatif"
"Kalau ada masalah, takut lapor, nanti malah gue yang kena!","negatif"
"Udah bayar pajak buat gaji mereka, tapi malah bikin rakyat takut.","negatif"
"Takut banget kalau ada kejadian di jalan, mau lapor pun bingung percaya atau nggak.","negatif"
"Semoga kepolisian bisa terus menjalankan tugasnya dengan baik.","netral"
"Pelayanan publik harus tetap berjalan sesuai prosedur.","netral"
"Setiap tugas pasti ada tantangannya, termasuk di kepolisian.","netral"
"Semua pihak perlu bekerja sama untuk menjaga keamanan.","netral"
"Proses hukum harus tetap berjalan sesuai aturan yang berlaku.","netral"
"Polisi punya peran besar dalam menertibkan masyarakat.","netral"
"Setiap laporan pasti membutuhkan waktu untuk diproses.","netral"
"Semua pihak pasti mengharapkan sistem yang lebih baik.","netral"
"Polisi juga manusia, pasti ada yang baik dan ada yang kurang.","netral"
"Perubahan sistem butuh waktu, nggak bisa instan.","netral"
"Semua lembaga pasti punya tantangan masing-masing.","netral"
"Penegakan hukum perlu terus diperbaiki dari waktu ke waktu.","netral"
"Semua profesi pasti ada oknum dan ada yang benar-benar menjalankan tugasnya.","netral"
"Masyarakat dan kepolisian harus saling mendukung demi keamanan bersama.","netral"
"Setiap kasus punya tingkat kesulitan yang berbeda-beda.","netral"
"Tugas kepolisian nggak mudah, tapi harus tetap profesional.","netral"
"Setiap kebijakan pasti ada pro dan kontranya.","netral"
"Polisi tetap punya kewajiban untuk melindungi masyarakat.","netral"
"Komunikasi antara masyarakat dan kepolisian harus lebih baik.","netral"
"Setiap kritik pasti ada alasannya, semoga bisa jadi bahan evaluasi.","netral"
"Udah banyak kejadian aneh, bikin makin nggak berani macem-macem.","negatif"
"Takut kalau dituduh sesuatu yang nggak kita lakuin.","negatif"
"Kalau ada peraturan baru, takutnya cuma buat nambah beban rakyat.","negatif"
"Bahkan orang yang udah punya pengacara pun masih bisa kena ancaman.","negatif"
"Takutnya kalau viral baru diproses, kalau nggak, ya ilang aja.","negatif"
"Ngeri kalau urusan sama polisi malah jadi lebih rumit.","negatif"
"Banyak kejadian aneh di tahanan, bikin was-was.","negatif"
"Takut kalau ngelapor malah ditanya ?isa damai nggak??negatif","negatif"
"Udah jelas kasus berat, tapi takut kalau akhirnya pelaku bebas.","negatif"
"Kalau lihat lampu strobo di belakang, rasanya udah takut duluan.","negatif"
"Takut kalau ada razia, nanti malah kena kasus yang aneh-aneh.","negatif"
"Banyak kasus salah tangkap, bikin siapa aja bisa kena.","negatif"
"Jalan malam aja takut, bukannya merasa aman malah makin waspada.","negatif"
"Takut kalau ternyata yang harusnya menegakkan hukum malah bermain di belakang layar.","negatif"
"Bahkan ngerekam kejadian aja bisa kena masalah, serem banget.","negatif"
"Mau pasang kamera di mobil, takut malah dikira cari masalah.","negatif"
"Lapor kehilangan malah kena biaya tambahan? Makin takut buat lapor.","negatif"
"Ngeri kalau ditilang tapi nggak tahu hak kita sebagai warga negara.","negatif"
"Kalau nggak ada bukti rekaman, takut kejadian bisa dipelintir.","negatif"
"Udah banyak orang yang jadi korban salah tangkap, makin ngeri.","negatif"
"Takut kalau hukum bisa dipermainkan seenaknya.","negatif"
"Lihat berita makin serem, rakyat kecil kayak nggak punya perlindungan.","negatif"
"Bahkan kalau punya bukti kuat pun tetap takut kalau kasus bisa hilang begitu aja.","negatif"
"Sedih banget, hukum di negara ini terasa nggak adil sama sekali.","negatif"
"Kepercayaan ke polisi makin lama makin hilang, kecewa banget.","negatif"
"Harusnya merasa aman, tapi malah was-was kalau ketemu polisi.","negatif"
"Capek berharap, setiap ada kasus besar ujung-ujungnya menghilang.","negatif"
"Setiap laporan yang masuk harus diproses sesuai prosedur yang berlaku.","netral"
"Kepolisian memiliki tugas utama dalam menjaga ketertiban masyarakat.","netral"
"Evaluasi berkala terhadap kinerja aparat penting untuk perbaikan sistem.","netral"
"Koordinasi dengan pihak terkait dapat meningkatkan efektivitas penegakan hukum.","netral"
"Penyuluhan hukum kepada masyarakat dapat membantu dalam pencegahan kejahatan.","netral"
"Teknologi dapat dimanfaatkan untuk meningkatkan efektivitas pelayanan kepolisian.","netral"
"Setiap institusi, termasuk kepolisian, perlu beradaptasi dengan perkembangan zaman.","netral"
"Penegakan hukum yang adil akan menciptakan ketertiban dalam masyarakat.","netral"
"Pelayanan publik yang maksimal adalah harapan semua warga terhadap kepolisian.","netral"
"Transparansi dalam proses hukum dapat meningkatkan kepercayaan masyarakat.","netral"
"Kepolisian harus selalu mengikuti prosedur dalam setiap tindakan yang dilakukan.","netral"
"Program peningkatan kualitas SDM kepolisian dapat membantu profesionalisme kerja.","netral"
"Respons cepat dalam menangani laporan masyarakat sangat diperlukan.","netral"
"Koordinasi antara kepolisian dan masyarakat dapat meningkatkan keamanan bersama.","netral"
"Sistem pengaduan masyarakat yang lebih efektif dapat mempermudah penanganan kasus.","netral"
"Kepolisian perlu memberikan edukasi tentang hukum agar masyarakat lebih paham.","netral"
"Pembenahan sistem internal akan berdampak pada peningkatan kinerja kepolisian.","netral"
"Penanganan kasus harus dilakukan secara transparan dan akuntabel.","netral"
"Setiap tindakan aparat harus sesuai dengan hukum yang berlaku.","netral"
"Peran kepolisian dalam menjaga ketertiban harus didukung oleh seluruh elemen masyarakat.","netral"
"Sedih lihat korban yang nggak dapat keadilan.","negatif"
"Semakin hari, semakin sulit percaya dengan aparat.","negatif"
